,latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover
221,51.25,-89.25,0.7232727272727273,0.976,1.0,0.0,1.0
222,51.25,-88.75,0.6679090909090909,0.957,1.0,0.012,1.0
223,51.25,-88.25,0.7275454545454546,0.976,1.0,0.0,1.0
224,51.25,-87.75,0.7731818181818181,1.0,1.0,0.0,1.0
225,51.25,-87.25,0.7606363636363637,1.0,1.0,0.0,1.0
226,51.25,-86.75,0.768090909090909,1.0,1.0,0.043,1.0
227,51.25,-86.25,0.7338181818181817,0.953,1.0,0.13,1.0
228,51.25,-85.75,0.6918181818181818,0.634,1.0,0.0,1.0
229,51.25,-85.25,0.8239090909090908,1.0,1.0,0.02,1.0
230,51.25,-84.75,0.7977272727272726,1.0,1.0,0.051,1.0
231,51.25,-84.25,0.8525454545454546,1.0,1.0,0.417,1.0
232,51.25,-83.75,0.7649090909090909,1.0,1.0,0.165,1.0
233,51.25,-83.25,0.7086363636363636,0.941,1.0,0.004,1.0
234,51.25,-82.75,0.754090909090909,1.0,1.0,0.067,1.0
235,51.25,-82.25,0.7516363636363637,1.0,1.0,0.008,1.0
236,51.25,-81.75,0.6342727272727273,1.0,1.0,0.0,1.0
237,51.25,-81.25,0.7395454545454545,1.0,1.0,0.0,1.0
238,51.25,-80.75,0.9048181818181817,1.0,1.0,0.531,1.0
239,51.25,-80.25,0.7559090909090909,1.0,1.0,0.0,1.0
240,51.25,-79.75,0.7251818181818183,1.0,1.0,0.0,1.0
241,51.25,-79.25,0.7841818181818183,1.0,1.0,0.0,1.0
242,51.25,-78.75,0.7369090909090908,1.0,1.0,0.0,1.0
243,51.25,-78.25,0.7198181818181818,0.969,1.0,0.0,1.0
244,51.25,-77.75,0.646090909090909,0.705,1.0,0.0,1.0
245,51.25,-77.25,0.6531818181818182,1.0,1.0,0.0,1.0
246,51.25,-76.75,0.66,0.933,1.0,0.0,1.0
247,51.25,-76.25,0.6238181818181818,1.0,1.0,0.0,1.0
248,51.25,-75.75,0.6525454545454545,1.0,1.0,0.0,1.0
249,51.25,-75.25,0.7096363636363636,0.972,1.0,0.004,1.0
250,51.25,-74.75,0.7931818181818181,1.0,1.0,0.004,1.0
251,51.25,-74.25,0.7222727272727273,1.0,1.0,0.0,1.0
252,51.25,-73.75,0.7862727272727273,1.0,1.0,0.0,1.0
253,51.25,-73.25,0.7828181818181817,1.0,1.0,0.0,1.0
254,51.25,-72.75,0.7154545454545455,1.0,1.0,0.0,1.0
255,51.25,-72.25,0.7899090909090909,1.0,1.0,0.0,1.0
256,51.25,-71.75,0.878,1.0,1.0,0.335,1.0
257,51.25,-71.25,0.8632727272727272,1.0,1.0,0.142,1.0
258,51.25,-70.75,0.8493636363636363,1.0,1.0,0.0,1.0
259,51.25,-70.25,0.9377272727272726,1.0,1.0,0.642,1.0
260,51.25,-69.75,0.8324545454545454,1.0,1.0,0.071,1.0
261,51.25,-69.25,0.8748181818181817,1.0,1.0,0.402,1.0
262,51.25,-68.75,0.9055454545454545,1.0,1.0,0.445,1.0
263,51.25,-68.25,0.8260000000000001,1.0,1.0,0.157,1.0
264,51.25,-67.75,0.9451818181818182,1.0,1.0,0.677,1.0
265,51.25,-67.25,0.9105454545454545,1.0,1.0,0.543,1.0
266,51.25,-66.75,0.947,1.0,1.0,0.657,1.0
267,51.25,-66.25,0.9026363636363637,1.0,1.0,0.409,1.0
268,51.25,-65.75,0.8714545454545455,1.0,1.0,0.287,1.0
269,51.25,-65.25,0.8851818181818184,1.0,1.0,0.268,1.0
270,51.25,-64.75,0.9384545454545455,1.0,1.0,0.508,1.0
271,51.25,-64.25,0.8622727272727274,1.0,1.0,0.02,1.0
272,51.25,-63.75,0.9048181818181817,1.0,1.0,0.374,1.0
273,51.25,-63.25,0.7892727272727273,1.0,1.0,0.024,1.0
274,51.25,-62.75,0.786,1.0,1.0,0.0,1.0
275,51.25,-62.25,0.8682727272727273,1.0,1.0,0.031,1.0
276,51.25,-61.75,0.879,1.0,1.0,0.024,1.0
277,51.25,-61.25,0.8139090909090908,1.0,1.0,0.0,1.0
278,51.25,-60.75,0.8746363636363637,1.0,1.0,0.098,1.0
279,51.25,-60.25,0.7498181818181819,0.98,1.0,0.055,1.0
280,50.75,-129.75,0.6739999999999999,0.98,1.0,0.0,1.0
281,50.75,-129.25,0.6635454545454547,0.839,1.0,0.0,1.0
282,50.75,-128.75,0.7741818181818182,1.0,1.0,0.0,1.0
283,50.75,-128.25,0.7053636363636364,0.988,1.0,0.0,1.0
284,50.75,-127.75,0.728090909090909,0.906,1.0,0.0,1.0
285,50.75,-127.25,0.6138181818181818,0.965,1.0,0.0,1.0
286,50.75,-126.75,0.6460909090909092,0.937,1.0,0.0,1.0
287,50.75,-126.25,0.7702727272727273,0.945,1.0,0.146,1.0
288,50.75,-125.75,0.7880909090909092,0.831,1.0,0.228,1.0
289,50.75,-125.25,0.7580909090909091,0.969,1.0,0.11,1.0
290,50.75,-124.75,0.6709999999999999,0.795,1.0,0.059,1.0
291,50.75,-124.25,0.6532727272727273,0.756,1.0,0.063,1.0
292,50.75,-123.75,0.5740909090909091,0.685,1.0,0.0,1.0
293,50.75,-123.25,0.697,0.665,1.0,0.028,1.0
294,50.75,-122.75,0.6922727272727273,0.902,0.8,0.039,1.0
295,50.75,-122.25,0.8063636363636363,0.941,1.0,0.13,1.0
296,50.75,-121.75,0.7014545454545454,0.957,0.8,0.0,1.0
297,50.75,-121.25,0.7164545454545455,0.921,1.0,0.102,1.0
298,50.75,-120.75,0.7866363636363637,0.969,1.0,0.039,1.0
299,50.75,-120.25,0.7208181818181818,0.988,1.0,0.051,1.0
300,50.75,-119.75,0.8672727272727272,0.972,1.0,0.551,1.0
301,50.75,-119.25,0.6933636363636364,0.76,1.0,0.0,1.0
302,50.75,-118.75,0.8330909090909092,0.992,0.8,0.283,1.0
303,50.75,-118.25,0.8947272727272729,0.996,1.0,0.461,1.0
304,50.75,-117.75,0.8798181818181817,0.996,1.0,0.449,1.0
305,50.75,-117.25,0.761,0.992,0.8,0.075,1.0
306,50.75,-116.75,0.8185454545454545,0.961,1.0,0.028,1.0
307,50.75,-116.25,0.7980909090909091,0.98,1.0,0.157,1.0
308,50.75,-115.75,0.8089090909090909,0.913,1.0,0.051,1.0
309,50.75,-115.25,0.8005454545454544,0.98,1.0,0.232,1.0
310,50.75,-114.75,0.7282727272727272,0.713,0.6000000000000001,0.165,1.0
311,50.75,-114.25,0.7974545454545453,0.988,0.8,0.114,1.0
312,50.75,-113.75,0.6502727272727273,0.992,1.0,0.059,1.0
313,50.75,-113.25,0.5952727272727273,1.0,1.0,0.0,1.0
314,50.75,-112.75,0.6813636363636363,0.984,1.0,0.031,1.0
315,50.75,-112.25,0.6836363636363636,0.878,0.8,0.016,1.0
316,50.75,-111.75,0.7146363636363636,0.992,1.0,0.106,1.0
317,50.75,-111.25,0.7845454545454544,0.972,0.8,0.138,1.0
318,50.75,-110.75,0.7085454545454545,0.866,0.8,0.146,1.0
319,50.75,-110.25,0.7723636363636364,0.839,1.0,0.228,1.0
320,50.75,-109.75,0.612090909090909,0.756,0.0,0.0,1.0
321,50.75,-109.25,0.512909090909091,0.476,0.0,0.0,1.0
322,50.75,-108.75,0.4462727272727273,0.276,0.0,0.0,1.0
323,50.75,-108.25,0.40990909090909095,0.339,0.0,0.0,1.0
324,50.75,-107.75,0.5118181818181818,0.571,0.0,0.0,1.0
325,50.75,-107.25,0.4340000000000001,0.236,0.0,0.0,1.0
326,50.75,-106.75,0.40236363636363637,0.248,0.0,0.0,1.0
327,50.75,-106.25,0.4232727272727273,0.303,0.0,0.0,1.0
328,50.75,-105.75,0.3842727272727273,0.531,0.4,0.0,0.791
329,50.75,-105.25,0.49318181818181817,0.524,0.0,0.0,1.0
330,50.75,-104.75,0.5462727272727272,0.638,0.0,0.0,1.0
331,50.75,-104.25,0.5218181818181818,0.496,0.2,0.0,1.0
332,50.75,-103.75,0.6416363636363637,0.72,0.8,0.0,1.0
333,50.75,-103.25,0.5694545454545454,0.685,0.6000000000000001,0.0,0.965
334,50.75,-102.75,0.4814545454545454,0.496,0.0,0.0,1.0
335,50.75,-102.25,0.5583636363636364,0.748,0.0,0.0,1.0
336,50.75,-101.75,0.6326363636363637,0.874,0.8,0.0,1.0
337,50.75,-101.25,0.7867272727272727,0.921,0.8,0.024,1.0
338,50.75,-100.75,0.7949090909090909,1.0,1.0,0.114,1.0
339,50.75,-100.25,0.8375454545454545,0.941,0.8,0.382,1.0
340,50.75,-99.75,0.8070909090909091,0.945,1.0,0.327,1.0
341,50.75,-99.25,0.8736363636363635,0.996,1.0,0.5,1.0
342,50.75,-98.75,0.7631818181818182,0.894,0.4,0.425,1.0
343,50.75,-98.25,0.744909090909091,0.89,1.0,0.028,1.0
344,50.75,-97.75,0.6632727272727273,0.866,0.8,0.154,1.0
345,50.75,-97.25,0.6914545454545455,0.752,0.6000000000000001,0.004,1.0
346,50.75,-96.75,0.5360909090909091,0.657,0.0,0.0,1.0
347,50.75,-96.25,0.8489090909090908,0.996,1.0,0.102,1.0
348,50.75,-95.75,0.8325454545454547,1.0,1.0,0.118,1.0
349,50.75,-95.25,0.9008181818181819,1.0,1.0,0.307,1.0
350,50.75,-94.75,0.8847272727272727,1.0,1.0,0.0,1.0
351,50.75,-94.25,0.8021818181818182,1.0,1.0,0.024,1.0
352,50.75,-93.75,0.8246363636363637,0.965,1.0,0.295,1.0
353,50.75,-93.25,0.8618181818181818,1.0,1.0,0.386,1.0
354,50.75,-92.75,0.7837272727272727,1.0,1.0,0.051,1.0
355,50.75,-92.25,0.8300909090909091,1.0,1.0,0.067,1.0
356,50.75,-91.75,0.815,1.0,1.0,0.067,1.0
357,50.75,-91.25,0.7880909090909092,1.0,1.0,0.008,1.0
358,50.75,-90.75,0.7487272727272728,1.0,1.0,0.059,1.0
359,50.75,-90.25,0.6881818181818182,0.787,1.0,0.0,1.0
360,50.75,-89.75,0.6725454545454546,0.874,0.8,0.0,1.0
361,50.75,-89.25,0.6786363636363636,0.933,1.0,0.0,1.0
362,50.75,-88.75,0.6194545454545455,0.87,1.0,0.0,1.0
363,50.75,-88.25,0.572,0.78,0.0,0.0,1.0
