latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
60.25,-68.25,0.74125,0.9784999999999999,0.8,0.008,1.0,True
60.25,-67.75,0.62,0.6970000000000001,0.8,0.094,0.992,True
60.25,-67.25,0.7194999999999999,0.748,0.2,0.382,1.0,True
60.25,-66.75,0.92525,0.9430000000000001,0.8,0.815,1.0,True
60.25,-66.25,0.98225,0.994,0.8,0.941,1.0,True
60.25,-65.75,0.98125,0.986,0.8,0.953,1.0,True
60.25,-65.25,0.9269999999999999,0.9545,1.0,0.799,1.0,True
60.25,-64.75,1.0,1.0,1.0,1.0,1.0,True
60.25,-64.25,0.88375,0.9565,1.0,0.622,1.0,True
60.25,-63.75,0.758,0.823,0.2,0.386,1.0,True
60.25,-63.25,0.751,0.7935,0.4,0.417,1.0,True
60.25,-62.75,0.90175,0.892,0.8,0.823,1.0,True
60.25,-62.25,0.8572500000000001,1.0,1.0,0.429,1.0,True
60.25,-61.75,0.7855,0.996,1.0,0.15,1.0,True
59.75,-80.25,0.7265,0.9450000000000001,0.8,0.016,1.0,True
59.75,-79.75,0.74225,0.9155,1.0,0.138,1.0,True
59.75,-79.25,0.7235,0.9450000000000001,1.0,0.004,1.0,True
59.75,-78.75,0.70275,0.862,1.0,0.087,1.0,True
59.75,-78.25,0.6535,0.8069999999999999,1.0,0.0,1.0,True
59.75,-77.75,0.624,0.6435,0.2,0.209,1.0,True
59.75,-77.25,0.63775,0.738,1.0,0.075,1.0,True
59.75,-76.75,0.75,0.75,0.4,0.5,1.0,True
59.75,-76.25,0.7265,0.75,0.4,0.406,1.0,True
59.75,-75.75,0.626,0.75,1.0,0.004,1.0,True
59.75,-75.25,0.5855,0.7105,0.8,0.0,0.921,True
59.75,-74.75,0.5740000000000001,0.5885,0.2,0.217,0.902,True
59.75,-74.25,0.503,0.498,0.4,0.071,0.945,True
59.75,-73.75,0.37775000000000003,0.362,0.0,0.031,0.756,True
59.75,-73.25,0.39675000000000005,0.321,0.0,0.008,0.937,True
59.75,-72.75,0.37,0.2735,0.0,0.008,0.925,True
59.75,-72.25,0.38,0.26,0.0,0.0,1.0,True
59.75,-71.75,0.39375,0.27749999999999997,0.0,0.024,0.996,True
59.75,-71.25,0.42825,0.382,0.0,0.0,0.949,True
59.75,-70.75,0.33075,0.189,0.0,0.0,0.945,True
59.75,-70.25,0.31975,0.1535,0.0,0.0,0.972,True
59.75,-69.75,0.2855,0.1555,0.0,0.0,0.831,True
59.75,-69.25,0.311,0.122,0.0,0.0,1.0,True
59.75,-68.75,0.36224999999999996,0.2895,0.0,0.0,0.87,True
59.75,-68.25,0.5345,0.622,0.0,0.063,0.831,True
59.75,-67.75,0.6952499999999999,0.837,0.8,0.205,0.902,True
59.75,-67.25,0.5945,0.5905,0.2,0.201,0.996,True
59.75,-66.75,0.6035,0.6125,0.0,0.189,1.0,True
59.75,-66.25,0.694,0.6655,0.4,0.484,0.961,True
59.75,-65.75,0.872,0.994,1.0,0.5,1.0,True
59.75,-65.25,0.744,0.8285,1.0,0.319,1.0,True
59.75,-64.75,0.7895,0.9804999999999999,1.0,0.197,1.0,True
59.75,-64.25,0.756,0.7404999999999999,0.4,0.547,0.996,True
59.75,-63.75,0.63775,0.7304999999999999,0.6000000000000001,0.106,0.984,True
59.75,-63.25,0.49125,0.459,0.0,0.047,1.0,True
59.75,-62.75,0.48225,0.443,0.0,0.043,1.0,True
59.75,-62.25,0.7285,0.894,0.8,0.126,1.0,True
59.75,-61.75,0.80425,1.0,1.0,0.217,1.0,True
59.75,-61.25,0.875,1.0,1.0,0.5,1.0,True
59.25,-80.25,0.502,0.449,0.0,0.11,1.0,True
59.25,-79.75,0.378,0.254,0.0,0.004,1.0,True
59.25,-79.25,0.618,0.7085,0.0,0.055,1.0,True
59.25,-78.75,0.6132500000000001,0.7185,1.0,0.016,1.0,True
59.25,-78.25,0.41325,0.2775,0.0,0.098,1.0,True
59.25,-77.75,0.67125,0.742,1.0,0.201,1.0,True
59.25,-77.25,0.7235,0.7344999999999999,0.4,0.425,1.0,True
59.25,-76.75,0.6545,0.75,1.0,0.118,1.0,True
59.25,-76.25,0.71075,0.75,1.0,0.343,1.0,True
59.25,-75.75,0.6485000000000001,0.7675000000000001,1.0,0.059,1.0,True
59.25,-75.25,0.67125,0.75,1.0,0.185,1.0,True
59.25,-74.75,0.5355,0.5529999999999999,0.0,0.091,0.945,True
59.25,-74.25,0.57875,0.6555,0.8,0.039,0.965,True
59.25,-73.75,0.495,0.5,0.0,0.008,0.972,True
59.25,-73.25,0.2855,0.07100000000000001,0.0,0.0,1.0,True
59.25,-72.75,0.35724999999999996,0.26549999999999996,0.2,0.0,0.898,True
59.25,-72.25,0.323,0.1595,0.0,0.008,0.965,True
59.25,-71.75,0.29725,0.0945,0.0,0.0,1.0,True
59.25,-71.25,0.2215,0.0,0.0,0.0,0.886,True
59.25,-70.75,0.23225,0.0,0.0,0.0,0.929,True
59.25,-70.25,0.258,0.0375,0.0,0.0,0.957,True
59.25,-69.75,0.26275000000000004,0.056999999999999995,0.0,0.0,0.937,True
59.25,-69.25,0.4135,0.333,0.0,0.0,0.988,True
59.25,-68.75,0.44875,0.3975,0.0,0.0,1.0,True
59.25,-68.25,0.608,0.675,0.8,0.22,0.862,True
